Team,Mat,Won,Lost,Tied,NR,W/L,Runs,Inns,HS,LS,Season,AveRPW,AveRPO
Zimbabwe,2,0,2,0,0,0.0,258,2,132.0,126.0,2018/19,15.17,6.91
Zimbabwe,11,5,5,0,1,1.0,1423,11,174.0,115.0,2022/23,16.94,7.13
Zimbabwe,2,0,2,0,0,0.0,261,2,141.0,0.0,2017/18,18.64,6.52
Zimbabwe,15,5,10,0,0,0.5,2257,15,190.0,127.0,2015/16,20.15,7.59
Zimbabwe,16,9,7,0,0,1.2857142857142858,2448,16,236.0,95.0,2022,22.45,7.75
Zimbabwe,17,8,9,0,0,0.8888888888888888,2476,17,217.0,82.0,2023/24,24.03,7.81
Zimbabwe,5,1,4,0,0,0.25,734,5,175.0,0.0,2015,23.67,7.34
Zimbabwe,6,0,6,0,0,0.0,853,6,156.0,148.0,2020/21,19.38,7.28
Zimbabwe,5,5,0,0,0,5.0,1090,5,344.0,0.0,2024/25,43.6,12.82
Zimbabwe,6,3,3,0,0,1.0,909,6,177.0,152.0,2019/20,24.56,7.98
Zimbabwe,8,2,5,1,0,0.4,1211,8,172.0,136.0,2019,22.01,8.23
Zimbabwe,4,0,4,0,0,0.0,550,4,162.0,108.0,2018,17.74,7.06
Zimbabwe,3,1,2,0,0,0.5,404,3,170.0,0.0,2016,19.23,6.73
Zimbabwe,14,6,8,0,0,0.75,1999,14,193.0,138.0,2021,20.6,7.22
Zimbabwe,10,2,8,0,0,0.25,1399,10,159.0,124.0,2024,17.48,7.16
World-XI,3,1,2,0,0,0.5,502,3,177.0,0.0,2017/18,27.88,8.38
West Indies,9,6,3,0,0,2.0,1245,9,194.0,0.0,2017,26.48,7.58
West Indies,7,2,5,0,0,0.4,922,7,199.0,60.0,2018,19.2,7.72
West Indies,14,6,5,0,3,1.2,1934,14,199.0,0.0,2021,27.62,8.66
West Indies,3,0,2,0,1,0.0,264,2,140.0,124.0,2017/18,13.89,7.43
West Indies,9,2,7,0,0,0.2857142857142857,1185,9,190.0,45.0,2018/19,16.92,7.67
West Indies,3,1,2,0,0,0.5,431,3,180.0,89.0,2024/25,18.73,7.78
West Indies,16,4,12,0,0,0.3333333333333333,2511,16,224.0,55.0,2021/22,23.91,8.08
West Indies,5,3,2,0,0,1.5,812,5,178.0,0.0,2023,28.0,8.38
West Indies,13,11,2,0,0,5.5,2140,13,218.0,0.0,2024,32.92,9.27
West Indies,3,2,1,0,0,2.0,530,3,236.0,126.0,2014/15,24.09,9.19
West Indies,6,2,3,0,1,0.6666666666666666,756,6,180.0,117.0,2020/21,18.9,8.47
West Indies,3,0,3,0,0,0.0,339,3,146.0,0.0,2019,17.84,6.1
West Indies,8,3,5,0,0,0.6,1319,8,258.0,118.0,2022/23,22.35,8.85
West Indies,8,4,4,0,0,1.0,1524,8,222.0,192.0,2023/24,26.27,9.96
West Indies,8,6,2,0,0,3.0,1254,8,196.0,185.0,2015/16,26.68,8.07
West Indies,3,0,3,0,0,0.0,362,3,144.0,115.0,2016/17,15.08,6.05
West Indies,11,5,5,0,1,1.0,1664,11,207.0,0.0,2019/20,32.62,8.81
West Indies,11,4,6,0,1,0.6666666666666666,1468,10,193.0,100.0,2022,22.24,7.66
West Indies,2,1,0,0,1,1.0,388,2,245.0,143.0,2016,24.25,9.78
Vanuatu,3,3,0,0,0,3.0,536,3,223.0,0.0,2022/23,24.36,8.93
Vanuatu,5,1,4,0,0,0.25,631,5,180.0,77.0,2019,15.39,6.5
Vanuatu,5,1,4,0,0,0.25,542,5,128.0,110.0,2023/24,14.26,5.49
Vanuatu,6,1,5,0,0,0.2,931,6,180.0,0.0,2024,22.16,7.75
Vanuatu,6,2,4,0,0,0.5,622,6,137.0,97.0,2023,13.23,5.43
Vanuatu,5,3,2,0,0,1.5,776,5,188.0,108.0,2019/20,22.82,8.05
Vanuatu,6,5,1,0,0,5.0,872,6,173.0,127.0,2022,29.06,7.93
Vanuatu,4,1,3,0,0,0.3333333333333333,372,4,156.0,0.0,2018/19,16.9,6.41
Uganda,4,1,3,0,0,0.3333333333333333,215,4,78.0,39.0,2024,5.81,3.3
Uganda,15,12,3,0,0,4.0,1946,15,206.0,113.0,2023/24,24.32,7.56
Uganda,3,1,2,0,0,0.5,421,3,161.0,0.0,2019/20,22.15,7.01
Uganda,12,9,1,0,2,9.0,1332,10,185.0,108.0,2022/23,18.76,7.98
Uganda,12,11,1,0,0,11.0,1467,12,176.0,0.0,2021/22,31.21,7.6
Uganda,4,2,2,0,0,1.0,528,4,144.0,0.0,2019,19.55,7.02
Uganda,22,20,2,0,0,10.0,3045,22,192.0,97.0,2023,24.16,8.27
Uganda,13,9,4,0,0,2.25,1674,13,178.0,110.0,2022,21.74,6.64
Uganda,10,5,4,0,1,1.25,1146,9,172.0,124.0,2021,20.1,6.82
U.S.A.,5,2,3,0,0,0.6666666666666666,729,5,201.0,92.0,2022,20.25,7.51
U.S.A.,8,6,1,1,0,6.0,982,8,188.0,172.0,2021/22,28.88,8.25
U.S.A.,21,11,8,1,1,1.375,3035,20,230.0,115.0,2024,22.99,7.93
U.S.A.,2,0,1,0,1,0.0,310,2,158.0,0.0,2018/19,23.84,8.85
U.S.A.,6,2,4,0,0,0.5,708,6,158.0,0.0,2019,19.66,6.76
U.S.A.,3,0,2,1,0,0.0,473,3,170.0,0.0,2024/25,23.65,7.88
U.A.E.,10,8,2,0,0,4.0,1649,10,245.0,0.0,2024,39.26,9.74
U.A.E.,12,8,4,0,0,2.0,1954,12,192.0,0.0,2021/22,30.06,8.32
U.A.E.,3,0,3,0,0,0.0,392,3,164.0,109.0,2015,17.04,6.73
U.A.E.,15,7,8,0,0,0.875,2054,15,176.0,62.0,2023/24,21.62,7.24
U.A.E.,4,4,0,0,0,4.0,626,4,181.0,0.0,2019,29.8,7.9
U.A.E.,9,5,4,0,0,1.25,1379,9,191.0,136.0,2023,28.14,8.12
U.A.E.,3,3,0,0,0,3.0,417,3,180.0,0.0,2017,32.07,7.67
U.A.E.,12,6,6,0,0,1.0,1490,12,176.0,73.0,2015/16,17.32,6.46
U.A.E.,5,1,4,0,0,0.25,768,5,173.0,147.0,2022,20.21,7.74
U.A.E.,6,2,4,0,0,0.5,775,6,163.0,73.0,2022/23,23.48,6.7
U.A.E.,13,9,4,0,0,2.25,1640,13,199.0,108.0,2019/20,19.29,7.26
U.A.E.,6,2,3,0,1,0.6666666666666666,678,6,182.0,107.0,2018/19,17.38,7.3
U.A.E.,5,0,5,0,0,0.0,756,5,179.0,0.0,2016/17,22.9,7.56
Turkey,4,1,2,0,1,0.5,346,3,147.0,111.0,2023,15.72,7.86
Turkey,4,0,4,0,0,0.0,308,4,97.0,48.0,2022,8.55,4.29
Turkey,4,0,4,0,0,0.0,134,4,53.0,21.0,2019,3.35,3.2
Turkey,4,0,4,0,0,0.0,388,4,127.0,74.0,2024,9.94,5.18
Thailand,4,1,3,0,0,0.3333333333333333,524,4,154.0,0.0,2019,19.4,6.61
Thailand,6,0,6,0,0,0.0,396,6,107.0,30.0,2022,7.2,3.98
Thailand,5,3,2,0,0,1.5,587,5,145.0,90.0,2024,14.67,6.14
Thailand,4,4,0,0,0,4.0,558,4,171.0,0.0,2024/25,26.57,7.59
Thailand,4,0,4,0,0,0.0,324,4,96.0,66.0,2019/20,8.75,4.1
Thailand,8,5,3,0,0,1.6666666666666667,893,8,132.0,120.0,2023/24,24.8,7.32
Thailand,8,3,5,0,0,0.6,674,8,140.0,53.0,2023,12.25,5.25
Tanzania,12,2,10,0,0,0.2,1302,12,153.0,83.0,2023/24,13.15,5.5
Tanzania,5,5,0,0,0,5.0,447,5,183.0,119.0,2024,21.28,7.81
Tanzania,12,6,6,0,0,1.0,1766,12,180.0,111.0,2023,20.06,7.67
Tanzania,5,4,1,0,0,4.0,730,5,174.0,0.0,2022,29.2,8.55
Tanzania,10,7,3,0,0,2.3333333333333335,1478,10,242.0,68.0,2021/22,22.05,8.37
Tanzania,24,17,4,0,3,4.25,2758,23,218.0,137.0,2022/23,19.56,7.8
Switzerland,7,3,4,0,0,0.75,920,7,183.0,108.0,2022,19.16,7.36
Switzerland,7,6,1,0,0,6.0,1005,7,166.0,0.0,2023,38.65,8.3
Switzerland,4,2,2,0,0,1.0,476,4,172.0,52.0,2024,18.3,7.36
Switzerland,4,3,1,0,0,3.0,536,4,170.0,0.0,2021/22,26.8,8.83
Sweden,7,3,4,0,0,0.75,897,7,146.0,0.0,2021,19.08,6.89
Sweden,9,3,6,0,0,0.5,975,9,150.0,78.0,2022,15.98,6.15
Sweden,5,2,2,1,0,1.0,589,5,176.0,96.0,2023,15.91,6.74
Sweden,4,2,2,0,0,1.0,558,4,218.0,132.0,2024,22.32,9.96
Swaziland,6,1,5,0,0,0.2,642,6,194.0,72.0,2021/22,12.84,6.07
St Helena,7,2,3,0,2,0.6666666666666666,469,5,126.0,105.0,2022/23,13.02,5.92
Sri Lanka,12,3,9,0,0,0.3333333333333333,1868,12,214.0,87.0,2017/18,20.98,8.26
Sri Lanka,14,5,8,1,0,0.625,2125,14,206.0,102.0,2022/23,21.25,7.94
Sri Lanka,16,6,9,1,0,0.6666666666666666,2277,16,189.0,137.0,2021/22,23.47,7.65
Sri Lanka,3,1,2,0,0,0.5,422,3,160.0,0.0,2020/21,22.21,7.03
Sri Lanka,1,0,1,0,0,0.0,108,1,108.0,108.0,2023,10.8,5.63
Sri Lanka,3,1,2,0,0,0.5,460,3,174.0,0.0,2019,21.9,7.66
Sri Lanka,15,4,11,0,0,0.36363636363636365,2088,15,215.0,82.0,2015/16,18.31,7.09
Sri Lanka,3,2,1,0,0,2.0,507,3,179.0,0.0,2024/25,39.0,8.74
Sri Lanka,9,6,3,0,0,2.0,1503,9,206.0,160.0,2023/24,29.47,8.84
Sri Lanka,5,0,4,1,0,0.0,736,5,164.0,137.0,2018/19,16.0,7.95
Sri Lanka,11,3,7,0,1,0.42857142857142855,1443,10,182.0,117.0,2019/20,18.5,7.43
Sri Lanka,3,0,3,0,0,0.0,446,3,178.0,140.0,2016,15.92,7.43
Sri Lanka,1,1,0,0,0,1.0,99,1,99.0,0.0,2018,14.14,6.18
Sri Lanka,6,1,4,1,0,0.25,870,6,201.0,77.0,2024,16.73,7.34
Sri Lanka,9,6,3,0,0,2.0,1365,9,184.0,105.0,2022,21.32,7.82
Sri Lanka,2,0,2,0,0,0.0,318,2,172.0,0.0,2015,22.71,7.95
Sri Lanka,1,0,1,0,0,0.0,170,1,170.0,0.0,2017,24.28,8.5
Sri Lanka,8,5,3,0,0,1.6666666666666667,1179,8,176.0,131.0,2016/17,21.43,8.16
Sri Lanka,9,2,7,0,0,0.2857142857142857,1030,9,135.0,91.0,2021,15.37,6.07
Spain,10,7,2,0,1,3.5,1185,10,177.0,95.0,2022/23,24.68,8.07
Spain,9,6,3,0,0,2.0,1042,9,150.0,107.0,2022,19.66,6.96
Spain,11,11,0,0,0,11.0,1611,11,230.0,0.0,2024,27.3,8.82
Spain,6,5,1,0,0,5.0,691,6,143.0,0.0,2019/20,32.9,6.68
Spain,5,4,1,0,0,4.0,708,5,206.0,103.0,2019,28.32,8.24
Spain,3,2,1,0,0,2.0,364,3,128.0,0.0,2021,17.33,6.29
South Korea,6,0,6,0,0,0.0,536,6,141.0,47.0,2024,10.5,4.65
South Korea,4,0,4,0,0,0.0,425,4,170.0,66.0,2022/23,13.28,5.75
South Africa,6,1,5,0,0,0.2,991,6,191.0,0.0,2020/21,30.03,8.51
South Africa,6,2,4,0,0,0.5,982,6,231.0,0.0,2014/15,32.73,8.25
South Africa,15,10,5,0,0,2.0,2385,15,203.0,144.0,2021,29.44,8.44
South Africa,4,2,2,0,0,1.0,593,4,185.0,113.0,2016/17,22.8,8.53
South Africa,5,1,4,0,0,0.25,718,5,190.0,95.0,2023/24,17.51,8.63
South Africa,11,7,4,0,0,1.75,1825,11,229.0,0.0,2015/16,35.09,8.75
South Africa,11,4,6,0,1,0.6666666666666666,1803,11,259.0,0.0,2022/23,30.55,9.66
South Africa,15,8,7,0,0,1.1428571428571428,2056,15,194.0,147.0,2024,21.87,7.54
South Africa,10,6,3,0,1,2.0,1563,9,212.0,87.0,2022,28.41,9.0
South Africa,8,3,5,0,0,0.6,1233,8,222.0,89.0,2019/20,24.17,8.39
South Africa,9,7,1,1,0,7.0,1436,9,198.0,0.0,2018/19,30.55,8.66
South Africa,1,0,1,0,0,0.0,98,1,98.0,98.0,2018,9.8,5.88
South Africa,2,1,1,0,0,1.0,359,2,185.0,0.0,2024/25,32.63,9.53
South Africa,4,3,1,0,0,3.0,614,4,169.0,0.0,2015,30.7,7.88
South Africa,5,3,2,0,0,1.5,948,5,224.0,0.0,2017/18,35.11,9.6
South Africa,3,1,2,0,0,0.5,478,3,174.0,0.0,2017,26.55,7.96
South Africa,5,4,1,0,0,4.0,683,5,189.0,0.0,2021/22,29.69,7.45
Slovenia,6,3,3,0,0,1.0,724,6,171.0,49.0,2024,15.4,6.35
Slovenia,4,0,4,0,0,0.0,392,4,140.0,55.0,2022,10.59,5.44
Singapore,8,3,5,0,0,0.6,1250,8,216.0,109.0,2023/24,21.92,7.95
Singapore,6,4,2,0,0,2.0,623,6,181.0,0.0,2024,23.96,8.61
Singapore,7,0,6,1,0,0.0,913,7,168.0,80.0,2022/23,16.3,6.88
Singapore,12,6,6,0,0,1.0,1864,12,239.0,101.0,2019/20,22.45,7.98
Singapore,5,3,2,0,0,1.5,748,5,181.0,87.0,2023,19.17,7.65
Singapore,13,2,11,0,0,0.18181818181818182,1763,13,203.0,69.0,2022,17.8,7.21
Singapore,3,3,0,0,0,3.0,473,3,191.0,0.0,2019,31.53,8.86
Sierra Leone,10,3,7,0,0,0.42857142857142855,875,10,100.0,55.0,2021/22,11.82,4.83
Sierra Leone,7,4,3,0,0,1.3333333333333333,582,7,150.0,57.0,2022/23,12.93,6.3
Sierra Leone,16,5,11,0,0,0.45454545454545453,1361,16,121.0,49.0,2023/24,11.93,5.01
Seychelles,6,2,4,0,0,0.5,570,6,132.0,95.0,2021/22,13.9,5.69
Seychelles,7,0,4,0,3,0.0,620,6,162.0,123.0,2022/23,17.71,6.33
Seychelles,5,0,5,0,0,0.0,349,5,98.0,74.0,2024/25,8.51,4.25
Serbia,12,4,8,0,0,0.5,1752,12,242.0,90.0,2022,25.02,7.58
Serbia,2,0,2,0,0,0.0,189,2,107.0,82.0,2023/24,12.6,4.86
Serbia,9,1,8,0,0,0.125,899,9,160.0,68.0,2024,13.22,5.36
Serbia,4,3,0,0,1,3.0,426,3,181.0,0.0,2023,30.42,8.93
Serbia,4,0,4,0,0,0.0,506,4,147.0,100.0,2021,15.81,6.58
Serbia,2,0,2,0,0,0.0,208,2,156.0,52.0,2019/20,13.0,5.88
Scotland,6,6,0,0,0,6.0,1232,6,245.0,0.0,2023,44.0,10.44
Scotland,4,3,1,0,0,3.0,584,4,189.0,113.0,2016/17,25.39,7.87
Scotland,8,4,2,0,2,2.0,876,6,173.0,159.0,2015,25.76,9.14
Scotland,10,3,6,0,1,0.5,1450,10,180.0,126.0,2024,21.96,8.21
Scotland,7,3,4,0,0,0.75,876,7,161.0,136.0,2015/16,18.63,7.44
Scotland,8,5,3,0,0,1.6666666666666667,1317,8,204.0,0.0,2019/20,25.32,8.28
Scotland,3,2,1,0,0,2.0,362,3,147.0,94.0,2023/24,13.92,6.06
Scotland,4,2,2,0,0,1.0,756,4,252.0,0.0,2019,37.8,10.3
Scotland,6,2,3,1,0,0.6666666666666666,964,6,221.0,82.0,2018,31.09,8.58
Scotland,3,1,2,0,0,0.5,444,3,177.0,126.0,2021,22.2,7.44
Scotland,3,1,2,0,0,0.5,468,3,176.0,0.0,2022/23,29.25,7.8
Scotland,10,4,6,0,0,0.6666666666666666,1248,10,165.0,60.0,2021/22,18.08,6.82
Scotland,2,0,2,0,0,0.0,309,2,157.0,0.0,2022,18.17,7.72
Scotland,3,2,1,0,0,2.0,449,3,181.0,0.0,2018/19,32.07,8.31
Saudi Arabia,4,2,2,0,0,1.0,541,4,161.0,0.0,2021/22,22.54,7.29
Saudi Arabia,3,1,2,0,0,0.5,324,3,138.0,113.0,2019/20,18.0,7.47
Saudi Arabia,4,1,3,0,0,0.3333333333333333,547,4,202.0,134.0,2024,16.57,8.14
Saudi Arabia,7,2,5,0,0,0.4,841,7,155.0,0.0,2022/23,17.16,6.42
Saudi Arabia,5,3,2,0,0,1.5,701,5,163.0,126.0,2018/19,25.03,8.58
Saudi Arabia,5,0,5,0,0,0.0,649,5,148.0,110.0,2023,15.82,6.57
Saudi Arabia,15,14,1,0,0,14.0,2227,15,221.0,0.0,2023/24,37.74,8.88
Samoa,4,1,3,0,0,0.3333333333333333,460,4,148.0,81.0,2019,14.83,6.37
Samoa,3,0,3,0,0,0.0,421,3,148.0,139.0,2022/23,15.03,7.11
Samoa,6,4,2,0,0,2.0,838,6,183.0,104.0,2024,22.05,8.08
Samoa,6,1,5,0,0,0.2,770,6,157.0,117.0,2022,17.5,7.01
Rwanda,24,6,17,0,1,0.35294117647058826,2362,24,192.0,35.0,2022/23,12.63,5.82
Rwanda,9,4,5,0,0,0.8,988,9,146.0,91.0,2024/25,16.74,5.86
Rwanda,6,3,3,0,0,1.0,708,6,196.0,63.0,2021/22,16.09,7.65
Rwanda,21,7,12,1,1,0.5833333333333334,1751,20,154.0,24.0,2023/24,11.83,5.19
Rwanda,6,1,5,0,0,0.2,858,6,176.0,118.0,2024,27.67,7.35
Rwanda,21,3,18,0,0,0.16666666666666666,2482,21,174.0,59.0,2023,13.86,6.48
Rwanda,5,2,3,0,0,0.6666666666666666,617,5,165.0,0.0,2021,18.14,7.28
Romania,9,9,0,0,0,9.0,1510,9,211.0,156.0,2021,27.96,10.63
Romania,8,6,2,0,0,3.0,1100,8,192.0,84.0,2024,23.4,7.95
Romania,4,3,1,0,0,3.0,513,4,209.0,95.0,2020/21,23.31,8.22
Romania,11,6,5,0,0,1.2,1599,11,193.0,104.0,2022,24.6,7.87
Romania,10,4,6,0,0,0.6666666666666666,1470,10,190.0,103.0,2023,21.3,7.72
Romania,4,3,1,0,0,3.0,607,4,226.0,0.0,2019,24.28,8.03
Qatar,4,2,2,0,0,1.0,659,4,178.0,0.0,2024,20.59,8.52
Qatar,7,3,3,1,0,1.0,1083,7,206.0,0.0,2019,21.66,7.79
Qatar,7,3,2,0,2,1.5,717,5,165.0,0.0,2022/23,27.57,8.56
Qatar,5,3,1,1,0,3.0,779,5,205.0,0.0,2018/19,31.16,8.62
Qatar,9,3,5,1,0,0.6,1342,9,201.0,109.0,2023/24,23.96,7.94
Qatar,10,7,3,0,0,2.3333333333333335,1465,10,201.0,94.0,2019/20,27.12,7.68
Qatar,4,3,1,0,0,3.0,548,4,154.0,0.0,2021/22,22.83,7.66
Qatar,5,3,2,0,0,1.5,679,5,156.0,106.0,2023,21.9,7.01
Portugal,9,9,0,0,0,9.0,1379,9,208.0,162.0,2023,28.72,8.95
Portugal,4,4,0,0,0,4.0,718,4,218.0,0.0,2021,28.72,9.44
Portugal,5,2,3,0,0,0.6666666666666666,706,5,174.0,142.0,2024,18.57,7.07
Portugal,4,2,2,0,0,1.0,427,4,116.0,114.0,2019/20,15.81,5.65
Portugal,5,3,2,0,0,1.5,610,5,155.0,77.0,2022,16.48,6.52
Philippines,5,0,5,0,0,0.0,425,5,109.0,36.0,2021/22,10.62,4.45
Philippines,7,3,4,0,0,0.75,799,7,178.0,0.0,2024,15.66,5.96
Philippines,8,1,7,0,0,0.14285714285714285,841,8,174.0,45.0,2023,14.01,5.49
Philippines,4,1,2,0,1,0.5,233,4,93.0,0.0,2018/19,11.65,4.95
Philippines,6,3,2,1,0,1.5,768,6,158.0,0.0,2023/24,20.21,7.68
Peru,4,2,2,0,0,1.0,406,4,153.0,85.0,2019/20,14.0,6.16
Panama,4,1,3,0,0,0.3333333333333333,502,4,139.0,126.0,2022/23,15.21,6.28
Panama,6,1,5,0,0,0.2,598,6,139.0,37.0,2021/22,11.72,5.09
Panama,3,2,1,0,0,2.0,409,3,148.0,0.0,2019,24.05,7.34
Panama,4,0,4,0,0,0.0,328,4,90.0,67.0,2023/24,9.37,4.21
Pakistan,3,1,1,0,1,1.0,385,2,195.0,0.0,2020,48.12,9.62
Pakistan,9,6,3,0,0,2.0,1399,9,177.0,0.0,2020/21,29.14,8.34
Pakistan,16,6,9,1,0,0.6666666666666666,2324,16,201.0,83.0,2015/16,20.93,7.5
Pakistan,10,9,1,0,0,9.0,1774,10,205.0,116.0,2018,36.95,9.08
Pakistan,8,2,5,0,1,0.4,1024,8,150.0,101.0,2019/20,20.07,6.92
Pakistan,5,1,4,0,0,0.25,824,5,180.0,173.0,2023/24,20.6,8.45
Pakistan,4,3,1,0,0,3.0,511,4,137.0,132.0,2017,20.44,6.7
Pakistan,15,9,6,0,0,1.5,2181,15,185.0,0.0,2022/23,23.96,7.55
Pakistan,2,1,1,0,0,1.0,267,2,140.0,127.0,2014/15,20.53,7.02
Pakistan,13,6,7,0,0,0.8571428571428571,2062,13,203.0,121.0,2022,23.16,8.03
Pakistan,9,7,2,0,0,3.5,1455,9,186.0,0.0,2018/19,25.52,8.09
Pakistan,1,1,0,0,0,1.0,139,1,139.0,0.0,2016,139.0,9.37
Pakistan,8,3,4,0,1,0.75,1049,7,193.0,115.0,2023,20.98,8.54
